trial_id , dataset, lr    , batch_size, epochs, train_rmse        , train_pearson     , val_rmse          , val_pearson       , test_rmse         , test_pearson      , checkpoint_path                                                                                                                                   , duration_seconds, status , error_message
trial_001, kiba   , 0.003 ,          4,     50, 3.1259832755325476, 0.7953993343224884, 3.2844662725815925, 0.7730129108823475, 3.16818750856217  , 0.7852162221466048, /home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_101011/models/trial_001/deepdta_best.pt,         1654.425, success, 
trial_002, kiba   , 0.003 ,          8,     50, 2.3288751919452317, 0.8883408961053938, 2.546724388975689 , 0.8654193833065346, 2.4898561366052663, 0.8693856731619647, /home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_101011/models/trial_002/deepdta_best.pt,          896.722, success, 
trial_003, kiba   , 0.001 ,          4,     50, 2.6968573358061136, 0.8507711336511481, 2.8946862600057184, 0.827117882546384 , 2.794985881031641 , 0.8361416154285716, /home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_101011/models/trial_003/deepdta_best.pt,         1691.718, success, 
trial_004, kiba   , 0.001 ,          8,     50, 2.352260469227789 , 0.8868396495623462, 2.5546108034427637, 0.8655517098807621, 2.498188762523291 , 0.8699468881268196, /home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_101011/models/trial_004/deepdta_best.pt,          773.182, success, 
trial_005, kiba   , 0.0005,          4,     50, 2.6450834816041606, 0.8568968650365748, 2.8754385757461116, 0.8291195566831676, 2.7419521319914666, 0.842533534835749 , /home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_101011/models/trial_005/deepdta_best.pt,         1698.504, success, 
trial_006, kiba   , 0.0005,          8,     50, 2.1540205442126297, 0.9051897806052592, 2.4258361402561737, 0.8787139502092992, 2.3768660267369097, 0.8820716403448937, /home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_101011/models/trial_006/deepdta_best.pt,          843.207, success, 
